x y
596.4922451429037 1304.0457706263946
398.7375255129629 1098.029213261192
492.5074223234998 1491.3008693593692
996.4746455753061 198.7045550464836
998.6753996566636 216.08551644002318
789.5133606745446 993.6137733336241
422.4400585777695 1091.3600930429227
505.5244452836759 1505.1255495503415
1095.6834819786827 1393.8009975378886
394.82836210030445 1125.853010792207
1102.6537262144236 1404.786026407306
1409.4806854779997 502.76821948753724
588.4328352085845 1303.0709979560158
802.7432694067177 1002.3416037282806
1416.665837711163 510.154989109571
794.5550944651245 993.1107288733984
594.9033236623147 1296.3787505729822
1406.1105017938098 496.20101995783284
789.221591718718 984.3690712302532
510.6908278744683 1492.3726833355001
1094.4027518595497 1407.9255032575593
1098.4782448567353 1403.8146322708196
1395.9366655879246 489.3409266070946
608.9612575661284 1301.0409945724944
606.5690354606049 1291.4205577365974
802.6617401055621 997.0921607991073
612.805328910149 1307.671251978569
802.4415087577049 1010.909891033715
1094.7762872937715 1391.00958558434
798.4306903858544 987.4569034964766
1396.5326588183189 494.2917401677384
1416.2563609127028 495.77642309100133
791.7735149363392 995.3380996719244
997.8849727089873 210.23941859405508
797.3739411716829 1006.8833328899266
405.6508261235955 1114.8727633748665
494.1317430975157 1501.901999829868
616.4027803057994 1298.5904211740933
406.0903241427873 1112.219228668368
1018.2483356792351 191.89499018209622
1092.3543975943621 1405.7343715080415
1010.9048286354353 194.80727973766375
1401.0959674020398 520.5462173099176
501.74353509310794 1486.9372853818095
399.0898124253755 1098.7507415851662
406.6967111559977 1100.0198469250654
797.3811926173004 1004.4616495357517
1106.3677191047552 1408.213261878417
586.4372856903001 1298.817128180482
398.66171337361175 1106.304987668853
999.1612006780168 190.73314399204628
498.8558406230985 1491.4212869831013
1004.073546153528 217.56723605376845
1002.9244820684785 200.39802250689337
1403.5753574658806 477.46684318309525
482.83985413200685 1515.7813727880473
600.6263732048077 1298.2327281742091
1093.2724876654179 1377.3211371981836
1103.4259539619222 1403.0433294515408
400.215731408486 1103.1451242892558
1086.0046217066706 1393.7584741772996
1396.292444215832 509.4564291606822
588.9075907708714 1292.0828602694253
1387.2584315282122 512.2645461771403
1003.6856700128594 180.88127668739781
509.02345347654034 1485.1052858938579
493.2489745397129 1496.9098551604961
391.18990403724865 1096.2056153404565
500.31992598670195 1501.5032039480031
1000.9256811441514 209.90454448293102
